epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
13,1755.91,1.02741,0.57909,1.03984,0.90967,0.93907,0.95458,0.6788,1.18946,0.77087,1.11841,0.00415226,0.00138409,0.00415226,0.00138409,0.00415226,0.00138409,0.00415226,0.00138409
14,1867.14,0.96173,0.57851,1.01476,0.96914,0.85119,0.94119,0.67507,1.16918,0.79102,1.09141,0.00408153,0.00136051,0.00408153,0.00136051,0.00408153,0.00136051,0.00408153,0.00136051
15,1985.18,0.9298,0.52147,1.00275,0.93052,0.90876,0.94703,0.68747,1.19211,0.76721,1.11377,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
16,2128.73,0.91697,0.51634,0.99757,0.90249,0.90476,0.94545,0.69173,1.18633,0.78939,1.10002,0.00394007,0.00131336,0.00394007,0.00131336,0.00394007,0.00131336,0.00394007,0.00131336
17,2235.17,0.93089,0.52082,0.99104,0.93362,0.90453,0.93605,0.67783,1.20531,0.82966,1.11124,0.00386935,0.00128978,0.00386935,0.00128978,0.00386935,0.00128978,0.00386935,0.00128978
18,2351.28,0.91769,0.54242,0.99521,0.90568,0.91534,0.93266,0.66192,1.20774,0.8637,1.13455,0.00379862,0.00126621,0.00379862,0.00126621,0.00379862,0.00126621,0.00379862,0.00126621
19,2468.12,0.93002,0.51465,0.99311,0.89323,0.92048,0.93074,0.70024,1.2203,0.86191,1.11935,0.00372789,0.00124263,0.00372789,0.00124263,0.00372789,0.00124263,0.00372789,0.00124263
20,2587.06,0.92277,0.50637,1.00897,0.945,0.90115,0.94221,0.6953,1.16906,0.76542,1.08854,0.00365716,0.00121905,0.00365716,0.00121905,0.00365716,0.00121905,0.00365716,0.00121905
21,2744.23,0.90473,0.51092,0.98568,0.93998,0.89385,0.94454,0.69529,1.18409,0.73218,1.09528,0.00358643,0.00119548,0.00358643,0.00119548,0.00358643,0.00119548,0.00358643,0.00119548
22,2868.03,0.88321,0.49689,0.98462,0.96204,0.88039,0.95531,0.68495,1.18239,0.77781,1.07336,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
23,2975.91,0.89168,0.52078,0.98065,0.93268,0.88492,0.94027,0.70674,1.1737,0.73384,1.09461,0.00344497,0.00114832,0.00344497,0.00114832,0.00344497,0.00114832,0.00344497,0.00114832
24,3095.34,0.88059,0.49293,0.9817,0.93657,0.89451,0.92078,0.67414,1.20018,0.77048,1.08265,0.00337425,0.00112475,0.00337425,0.00112475,0.00337425,0.00112475,0.00337425,0.00112475
25,3220.49,0.86418,0.47873,0.97269,0.97603,0.90278,0.94855,0.67138,1.21283,0.77061,1.08676,0.00330352,0.00110117,0.00330352,0.00110117,0.00330352,0.00110117,0.00330352,0.00110117
26,3343.04,0.85685,0.4914,0.9676,0.92762,0.92063,0.93505,0.67634,1.21233,0.80448,1.1174,0.00323279,0.0010776,0.00323279,0.0010776,0.00323279,0.0010776,0.00323279,0.0010776
27,3451.05,0.89283,0.48255,0.98929,0.95968,0.92956,0.95055,0.67822,1.26418,0.8707,1.16429,0.00316206,0.00105402,0.00316206,0.00105402,0.00316206,0.00105402,0.00316206,0.00105402
28,3557.52,0.84734,0.50056,0.97876,0.93621,0.90292,0.94629,0.67795,1.2722,0.90723,1.17825,0.00309133,0.00103044,0.00309133,0.00103044,0.00309133,0.00103044,0.00309133,0.00103044
29,3672.99,0.83871,0.46729,0.96729,0.96353,0.899,0.9549,0.69,1.24044,0.88565,1.13689,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
30,3791.52,0.83951,0.49046,0.96125,0.96731,0.88936,0.94281,0.68884,1.25087,0.84475,1.11673,0.00294988,0.000983292,0.00294988,0.000983292,0.00294988,0.000983292,0.00294988,0.000983292
31,3911.56,0.8501,0.47971,0.95599,0.95068,0.90856,0.94572,0.68331,1.27777,0.78754,1.12526,0.00287915,0.000959716,0.00287915,0.000959716,0.00287915,0.000959716,0.00287915,0.000959716
32,4018.56,0.81436,0.46496,0.94923,0.97305,0.90336,0.94682,0.68024,1.25971,0.8285,1.15143,0.00280842,0.00093614,0.00280842,0.00093614,0.00280842,0.00093614,0.00280842,0.00093614
33,4139.02,0.84188,0.4752,0.96982,0.92694,0.93224,0.94396,0.67981,1.2247,0.76264,1.13039,0.00273769,0.000912563,0.00273769,0.000912563,0.00273769,0.000912563,0.00273769,0.000912563
34,4258.89,0.79331,0.45505,0.96355,0.94113,0.87996,0.94408,0.69536,1.23224,0.77676,1.14256,0.00266696,0.000888987,0.00266696,0.000888987,0.00266696,0.000888987,0.00266696,0.000888987
35,4366.81,0.81539,0.45809,0.95338,0.95355,0.89935,0.94928,0.69373,1.22301,0.75006,1.17978,0.00259623,0.000865411,0.00259623,0.000865411,0.00259623,0.000865411,0.00259623,0.000865411
36,4486.02,0.79312,0.47406,0.94989,0.97399,0.90278,0.94416,0.70809,1.17937,0.72571,1.14294,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
37,4590.14,0.77513,0.44596,0.95254,0.96724,0.90194,0.95383,0.72725,1.21053,0.78407,1.14467,0.00245478,0.000818259,0.00245478,0.000818259,0.00245478,0.000818259,0.00245478,0.000818259
38,4718.93,0.79006,0.45325,0.94938,0.96998,0.90278,0.95936,0.71747,1.20657,0.78314,1.1231,0.00238405,0.000794683,0.00238405,0.000794683,0.00238405,0.000794683,0.00238405,0.000794683
39,4839.63,0.77415,0.44109,0.94403,0.92657,0.92063,0.95555,0.71994,1.22437,0.80741,1.13551,0.00231332,0.000771107,0.00231332,0.000771107,0.00231332,0.000771107,0.00231332,0.000771107
40,4957.43,0.78331,0.44311,0.95304,0.92735,0.92063,0.94813,0.71518,1.22982,0.8534,1.14045,0.00224259,0.00074753,0.00224259,0.00074753,0.00224259,0.00074753,0.00224259,0.00074753
41,5116.49,0.79286,0.42684,0.95901,0.93066,0.9187,0.94744,0.71367,1.23106,0.81298,1.14064,0.00217186,0.000723954,0.00217186,0.000723954,0.00217186,0.000723954,0.00217186,0.000723954
42,5246.79,0.75437,0.44507,0.92806,0.9096,0.92956,0.94986,0.72205,1.23511,0.79869,1.1468,0.00210113,0.000700378,0.00210113,0.000700378,0.00210113,0.000700378,0.00210113,0.000700378
43,5354.09,0.73687,0.4062,0.92137,0.94707,0.90348,0.94681,0.71324,1.26378,0.76155,1.16381,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
44,5483.16,0.77377,0.42793,0.94215,0.93763,0.91769,0.9498,0.72811,1.21605,0.8666,1.15112,0.00195968,0.000653226,0.00195968,0.000653226,0.00195968,0.000653226,0.00195968,0.000653226
45,5603.34,0.73663,0.41681,0.9176,0.93845,0.89602,0.95021,0.70835,1.22341,0.90738,1.13995,0.00188895,0.00062965,0.00188895,0.00062965,0.00188895,0.00062965,0.00188895,0.00062965
46,5713.58,0.71841,0.41271,0.91309,0.9313,0.90223,0.9501,0.72248,1.21558,0.92125,1.14214,0.00181822,0.000606074,0.00181822,0.000606074,0.00181822,0.000606074,0.00181822,0.000606074
47,5834.59,0.74498,0.42609,0.93368,0.91503,0.90083,0.94328,0.71319,1.21399,0.99274,1.16291,0.00174749,0.000582497,0.00174749,0.000582497,0.00174749,0.000582497,0.00174749,0.000582497
48,5938.71,0.73151,0.39711,0.92344,0.94358,0.92262,0.94927,0.72476,1.20716,1.0685,1.17662,0.00167676,0.000558921,0.00167676,0.000558921,0.00167676,0.000558921,0.00167676,0.000558921
49,6068.95,0.72991,0.39638,0.92241,0.93759,0.90476,0.94,0.715,1.19844,1.03701,1.13632,0.00160604,0.000535345,0.00160604,0.000535345,0.00160604,0.000535345,0.00160604,0.000535345
50,6189.62,0.69764,0.38872,0.91621,0.9309,0.91369,0.93932,0.72215,1.1993,1.00108,1.15406,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
51,6306.92,0.69355,0.39947,0.91042,0.92005,0.91369,0.94564,0.70355,1.20995,0.95426,1.15665,0.00146458,0.000488193,0.00146458,0.000488193,0.00146458,0.000488193,0.00146458,0.000488193
52,6466.2,0.6975,0.37823,0.91105,0.93213,0.89153,0.94442,0.71642,1.22867,0.9514,1.15115,0.00139385,0.000464617,0.00139385,0.000464617,0.00139385,0.000464617,0.00139385,0.000464617
53,6586.68,0.67202,0.37872,0.90178,0.96935,0.92054,0.95452,0.71409,1.1866,0.85632,1.12549,0.00132312,0.000441041,0.00132312,0.000441041,0.00132312,0.000441041,0.00132312,0.000441041
54,6695.15,0.68631,0.38263,0.92454,0.95768,0.9291,0.9516,0.72074,1.18966,0.86623,1.13544,0.00125239,0.000417464,0.00125239,0.000417464,0.00125239,0.000417464,0.00125239,0.000417464
55,6828.74,0.67032,0.38833,0.90193,0.94818,0.9306,0.94836,0.73287,1.21481,0.88862,1.15487,0.00118166,0.000393888,0.00118166,0.000393888,0.00118166,0.000393888,0.00118166,0.000393888
56,6971.64,0.67622,0.36851,0.90832,0.93323,0.93155,0.94774,0.71825,1.21931,0.89132,1.15468,0.00111094,0.000370312,0.00111094,0.000370312,0.00111094,0.000370312,0.00111094,0.000370312
57,7103.68,0.68621,0.38708,0.91967,0.92761,0.91236,0.94971,0.70654,1.23166,0.92136,1.16021,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
58,7232.83,0.67103,0.37878,0.91895,0.94303,0.91778,0.95044,0.71743,1.21174,0.94915,1.13719,0.00096948,0.00032316,0.00096948,0.00032316,0.00096948,0.00032316,0.00096948,0.00032316
59,7366.44,0.66559,0.369,0.90443,0.9437,0.92035,0.95484,0.72981,1.17799,0.9105,1.11714,0.000898751,0.000299584,0.000898751,0.000299584,0.000898751,0.000299584,0.000898751,0.000299584
60,7492.22,0.66306,0.36021,0.91263,0.93777,0.92234,0.9528,0.72255,1.18028,0.9377,1.12505,0.000828023,0.000276008,0.000828023,0.000276008,0.000828023,0.000276008,0.000828023,0.000276008
61,7664.38,0.67357,0.36573,0.91102,0.9315,0.90874,0.94126,0.70584,1.15795,0.87775,1.09366,0.000757294,0.000252431,0.000757294,0.000252431,0.000757294,0.000252431,0.000757294,0.000252431
62,7780.67,0.65796,0.35722,0.90441,0.92192,0.91369,0.94823,0.69517,1.16867,0.85299,1.10126,0.000686566,0.000228855,0.000686566,0.000228855,0.000686566,0.000228855,0.000686566,0.000228855
63,7921.84,0.6215,0.33135,0.89262,0.9368,0.91369,0.9462,0.705,1.16712,0.83724,1.10397,0.000615837,0.000205279,0.000615837,0.000205279,0.000615837,0.000205279,0.000615837,0.000205279
64,8042.02,0.61719,0.32196,0.88676,0.93862,0.91369,0.94508,0.71808,1.16842,0.84813,1.11198,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
65,8149.04,0.60703,0.32582,0.88644,0.93955,0.91369,0.94116,0.71856,1.16854,0.85231,1.11363,0.000474381,0.000158127,0.000474381,0.000158127,0.000474381,0.000158127,0.000474381,0.000158127
66,8281.03,0.61207,0.33032,0.88721,0.93942,0.9121,0.94193,0.70827,1.18336,0.87005,1.12891,0.000403652,0.000134551,0.000403652,0.000134551,0.000403652,0.000134551,0.000403652,0.000134551
67,8410.06,0.58368,0.30757,0.88233,0.93093,0.91284,0.94215,0.71032,1.18716,0.86757,1.13395,0.000332924,0.000110975,0.000332924,0.000110975,0.000332924,0.000110975,0.000332924,0.000110975
68,8519.07,0.60379,0.32744,0.87819,0.93127,0.91364,0.94145,0.70847,1.18976,0.87707,1.13683,0.000262195,8.73984e-05,0.000262195,8.73984e-05,0.000262195,8.73984e-05,0.000262195,8.73984e-05
69,8638.37,0.58139,0.31788,0.87863,0.93125,0.91291,0.94207,0.70766,1.18902,0.8992,1.13916,0.000191467,6.38223e-05,0.000191467,6.38223e-05,0.000191467,6.38223e-05,0.000191467,6.38223e-05
70,8743.24,0.58849,0.30801,0.88105,0.93926,0.91248,0.94446,0.70735,1.19056,0.91457,1.144,0.000120738,4.02461e-05,0.000120738,4.02461e-05,0.000120738,4.02461e-05,0.000120738,4.02461e-05
